Wavelength,Clear,Red,Blue,Green
300.082,0.001366,-0.533472,0.001622,0.000595
303.059,0.001324,-0.512613,0.001458,0.000543
304.341,0.001306,-0.503656,0.001388,0.000521
345.435,0.001664,-0.226396,-0.000341,-0.000182
345.664,0.001689,-0.224927,-0.000337,-0.000186
350.948,0.003065,-0.191446,0.001366,-0.000272
351.987,0.005193,-0.18496,0.001444,-0.000289
357.556,0.006174,-0.15077,0.001382,-0.000378
361.138,0.009636,-0.129404,0.001399,-0.000434
363.853,0.009607,-0.1136,0.001653,-0.000475
367.238,0.009299,-0.09446,0.004612,-0.000524
368.487,0.009164,-0.087574,0.004719,-0.000542
377.511,0.008589,-0.041733,0.004436,-0.000637
377.843,0.008612,-0.040213,0.004486,-0.000638
383.652,0.011559,-0.016454,0.00739,-0.000564
384.21,0.012069,-0.014514,0.007567,-0.00054
388.189,0.014044,-0.002977,0.008347,-0.0001
388.665,0.014833,-0.001901,0.008629,1.9e-05
389.912,0.017545,0.000581,0.009666,0.000509
392.971,0.028904,0.004664,0.013746,0.004284
393.548,0.033691,0.005168,0.014799,0.004717
394.176,0.046249,0.005653,0.016115,0.004834
394.308,0.047983,0.005749,0.016424,0.004835
395.304,0.057392,0.006431,0.019404,0.004728
396.178,0.067062,0.007025,0.024221,0.004576
396.444,0.070786,0.007217,0.026411,0.004533
398.208,0.095158,0.008766,0.042956,0.004418
398.31,0.095527,0.008875,0.044019,0.004425
399.39,0.115133,0.010208,0.056033,0.004642
399.562,0.144084,0.010452,0.058095,0.004705
400.861,0.258384,0.012581,0.076985,0.005469
401.071,0.267588,0.012976,0.082216,0.00564
401.253,0.274673,0.01333,0.103368,0.0058
401.485,0.282655,0.013793,0.114562,0.006016
402.149,0.301123,0.015207,0.13334,0.00673
403.678,0.331181,0.018899,0.172679,0.008968
404.313,0.341095,0.020621,0.187197,0.010253
404.45,0.343104,0.021007,0.20515,0.010576
404.703,0.346738,0.021742,0.211325,0.011252
405.709,0.36027,0.024945,0.232757,0.017182
406.593,0.371579,0.028577,0.251393,0.01922
407.104,0.378189,0.042939,0.263038,0.02028
407.118,0.378373,0.043134,0.263376,0.02031
407.916,0.389701,0.05141,0.285802,0.022185
408.775,0.4061,0.058476,0.308491,0.024647
408.972,0.41112,0.059992,0.312062,0.025294
410.347,0.458591,0.069882,0.33257,0.03056
410.673,0.466366,0.072086,0.339086,0.031936
410.686,0.466633,0.072168,0.358445,0.031988
411.133,0.475646,0.075091,0.36585,0.033907
413.085,0.507808,0.08632,0.388883,0.041944
413.368,0.512294,0.087788,0.392304,0.042926
413.565,0.515583,0.088826,0.39517,0.043556
413.844,0.521114,0.090375,0.399966,0.044369
413.899,0.522511,0.090697,0.400727,0.044518
414.37,0.530946,0.093639,0.406191,0.045633
415.911,0.539836,0.101622,0.418493,0.047549
416.363,0.541712,0.102562,0.421193,0.047827
416.503,0.542238,0.10274,0.421969,0.047916
418.166,0.546535,0.102242,0.429778,0.04955
418.358,0.546799,0.101948,0.430552,0.049813
419.011,0.547365,0.100446,0.433044,0.050877
419.417,0.547505,0.099117,0.43447,0.051715
420.893,0.547147,0.09338,0.438613,0.05462
421.01,0.547082,0.092856,0.438825,0.054776
421.417,0.546837,0.090995,0.439262,0.055256
423.926,0.546293,0.078695,0.443297,0.057532
424.152,0.54659,0.077545,0.444021,0.057736
424.648,0.547725,0.075004,0.445687,0.058207
